Title, Link, Degree, Funds Needed, Location
PhD Scholarships,https://www.scholarshipregion.com/category/scholarships/phd-scholarships/,N/A,N/A,N/A
High School Scholarships,https://www.scholarshipregion.com/category/scholarships/high-school-scholarships/,N/A,N/A,N/A
Scholarship News,https://www.scholarshipregion.com/category/news/scholarship-news/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
High School Scholarships,https://www.scholarshipregion.com/category/scholarships/high-school-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
PhD Scholarships,https://www.scholarshipregion.com/category/scholarships/phd-scholarships/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
Postgraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/postgraduate-scholarships/,N/A,N/A,N/A
Scholarships in Africa,https://www.scholarshipregion.com/category/scholarships/scholarships-in-africa/,N/A,N/A,N/A
Scholarships in Asia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-asia/,N/A,N/A,N/A
Scholarships in Australia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-australia/,N/A,N/A,N/A
Scholarships in Canada,https://www.scholarshipregion.com/category/scholarships/scholarships-in-canada/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2025 Government of Ireland Scholarship Program | Step-by-Step Process,https://www.scholarshipregion.com/government-of-ireland-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2025 DAAD Study Scholarship in Germany For Developing Countries (Fully Funded),https://www.scholarshipregion.com/daad-study-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2024 Oxford Pershing Square Scholarship in UK (Fully Funded),https://www.scholarshipregion.com/oxford-pershing-square-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
African Union Public Health Scholarship Programme 2024 | Fully Funded,https://www.scholarshipregion.com/african-union-public-health-scholarship/,N/A,N/A,N/A
Scholarship in Countries,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Scholarships in USA,https://www.scholarshipregion.com/category/scholarships/scholarships-in-usa/,N/A,N/A,N/A
Scholarships in Canada,https://www.scholarshipregion.com/category/scholarships/scholarships-in-canada/,N/A,N/A,N/A
Scholarships in UK,https://www.scholarshipregion.com/category/scholarships/scholarships-in-uk/,N/A,N/A,N/A
Scholarships in Asia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-asia/,N/A,N/A,N/A
Scholarships in Australia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-australia/,N/A,N/A,N/A
Scholarships in Europe,https://www.scholarshipregion.com/category/scholarships/scholarships-in-europe/,N/A,N/A,N/A
Scholarships in Africa,https://www.scholarshipregion.com/category/scholarships/scholarships-in-africa/,N/A,N/A,N/A
Scholarships by Level,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Undergraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/undergraduate-scholarships/,N/A,N/A,N/A
Postgraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/postgraduate-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
PhD Scholarships,https://www.scholarshipregion.com/category/scholarships/phd-scholarships/,N/A,N/A,N/A
High School Scholarships,https://www.scholarshipregion.com/category/scholarships/high-school-scholarships/,N/A,N/A,N/A
Scholarship News,https://www.scholarshipregion.com/category/news/scholarship-news/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
High School Scholarships,https://www.scholarshipregion.com/category/scholarships/high-school-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
PhD Scholarships,https://www.scholarshipregion.com/category/scholarships/phd-scholarships/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
Postgraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/postgraduate-scholarships/,N/A,N/A,N/A
Scholarships in Africa,https://www.scholarshipregion.com/category/scholarships/scholarships-in-africa/,N/A,N/A,N/A
Scholarships in Asia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-asia/,N/A,N/A,N/A
Scholarships in Australia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-australia/,N/A,N/A,N/A
Scholarships in Canada,https://www.scholarshipregion.com/category/scholarships/scholarships-in-canada/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2025 Government of Ireland Scholarship Program | Step-by-Step Process,https://www.scholarshipregion.com/government-of-ireland-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2025 DAAD Study Scholarship in Germany For Developing Countries (Fully Funded),https://www.scholarshipregion.com/daad-study-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2024 Oxford Pershing Square Scholarship in UK (Fully Funded),https://www.scholarshipregion.com/oxford-pershing-square-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
African Union Public Health Scholarship Programme 2024 | Fully Funded,https://www.scholarshipregion.com/african-union-public-health-scholarship/,N/A,N/A,N/A
Scholarship in Countries,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Scholarships in USA,https://www.scholarshipregion.com/category/scholarships/scholarships-in-usa/,N/A,N/A,N/A
Scholarships in Canada,https://www.scholarshipregion.com/category/scholarships/scholarships-in-canada/,N/A,N/A,N/A
Scholarships in UK,https://www.scholarshipregion.com/category/scholarships/scholarships-in-uk/,N/A,N/A,N/A
Scholarships in Asia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-asia/,N/A,N/A,N/A
Scholarships in Australia,https://www.scholarshipregion.com/category/scholarships/scholarships-in-australia/,N/A,N/A,N/A
Scholarships in Europe,https://www.scholarshipregion.com/category/scholarships/scholarships-in-europe/,N/A,N/A,N/A
Scholarships in Africa,https://www.scholarshipregion.com/category/scholarships/scholarships-in-africa/,N/A,N/A,N/A
Scholarships by Level,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Undergraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/undergraduate-scholarships/,N/A,N/A,N/A
Postgraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/postgraduate-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
PhD Scholarships,https://www.scholarshipregion.com/category/scholarships/phd-scholarships/,N/A,N/A,N/A
High School Scholarships,https://www.scholarshipregion.com/category/scholarships/high-school-scholarships/,N/A,N/A,N/A
Scholarship News,https://www.scholarshipregion.com/category/news/scholarship-news/,N/A,N/A,N/A
High School Scholarships,https://www.scholarshipregion.com/category/scholarships/high-school-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
PhD Scholarships,https://www.scholarshipregion.com/category/scholarships/phd-scholarships/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
Postgraduate Scholarships,https://www.scholarshipregion.com/category/scholarships/postgraduate-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 Government of Ireland Scholarship Program | Step-by-Step Process,https://www.scholarshipregion.com/government-of-ireland-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 DAAD Study Scholarship in Germany For Developing Countries (Fully Funded),https://www.scholarshipregion.com/daad-study-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 Oxford Pershing Square Scholarship in UK (Fully Funded),https://www.scholarshipregion.com/oxford-pershing-square-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
African Union Public Health Scholarship Programme 2024 | Fully Funded,https://www.scholarshipregion.com/african-union-public-health-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 University of Manchester Equity and Merit Scholarship in UK | Fully Funded,https://www.scholarshipregion.com/equity-and-merit-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 Mastercard AfOx Scholarship at University of Oxford UK | Fully Funded,https://www.scholarshipregion.com/mastercard-afox-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2024 The Bridge Scholarship Program For Nigerians | Fully Funded,https://www.scholarshipregion.com/bridge-scholarship-program/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 German Government Bavarian Scholarship | Fully Funded,https://www.scholarshipregion.com/german-government-bavarian-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 Swiss Government Excellence Scholarship | Fully Funded,https://www.scholarshipregion.com/swiss-government-excellence-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 UK Government Chevening Scholarship | Fully Funded,https://www.scholarshipregion.com/uk-government-chevening-scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 University of Milan DSU Scholarship in Italy | Fully Funded,https://www.scholarshipregion.com/university-of-milan-dsu-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2025 Japan Government YLP Scholarship (MEXT Young Leaders Program) | Fully Funded,https://www.scholarshipregion.com/japan-government-ylp-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 Cyprus International University Scholarship in Turkey | How To Apply,https://www.scholarshipregion.com/cyprus-international-university-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 University of Idaho Scholarship in USA | How To Apply,https://www.scholarshipregion.com/university-of-idaho-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 University of Pretoria Masters Scholarship in South Africa | Fully Funded,https://www.scholarshipregion.com/university-of-pretoria-masters-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 DAAD Masters Scholarship in Germany | Fully Funded,https://www.scholarshipregion.com/daad-masters-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 GIST Scholarship in Korea | Fully Funded,https://www.scholarshipregion.com/gist-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
Czech Republic Government Scholarship 2025 | How to Apply (Step by Step),https://www.scholarshipregion.com/czech-republic-government-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 University of Padua Regione Veneto Scholarship in Italy | Fully Funded,https://www.scholarshipregion.com/regione-veneto-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 James McNeil Scholarship of Monash University in Australia | Fully Funded,https://www.scholarshipregion.com/james-mcneil-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
Federal Government Scholarship (FSB) Award 2024 | How To Apply,https://www.scholarshipregion.com/federal-government-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
PTDF Scholarship 2024 (Petroleum Technology Development Fund) | Step-by-Step Process,https://www.scholarshipregion.com/ptdf-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 Queen Elizabeth Commonwealth Scholarship (QECS) | Fully Funded,https://www.scholarshipregion.com/queen-elizabeth-commonwealth-scholarship/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
2024 MTN Scholarship for Undergraduates | Step-by-Step Process,https://www.scholarshipregion.com/mtn-scholarship-for-undergraduates/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
NNPC/SNEPCo Scholarship Award 2024 | Step-by-Step Process,https://www.scholarshipregion.com/nnpc-shell-scholarship-award/,N/A,N/A,N/A
Popular Scholarships,https://www.scholarshipregion.com/category/scholarships/popular-scholarships/,N/A,N/A,N/A
NNPC/SEPLAT Undergraduate Scholarship 2024 For Nigerians | Step-by-Step Process,https://www.scholarshipregion.com/seplat-undergraduate-scholarship/,N/A,N/A,N/A
Scholarships,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
2024 I4G DataCamp Scholarship For Africans (Ingressive for Good) | Step-by-Step Process,https://www.scholarshipregion.com/i4g-datacamp-scholarship/,N/A,N/A,N/A
Masters Scholarships,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
2024 IsDB/Turkiye Scholarship in Turkey | Fully Funded,https://www.scholarshipregion.com/isdb-turkiye-scholarship/,N/A,N/A,N/A
2024 Eni University of Oxford Scholarship in UK (Fully Funded),https://www.scholarshipregion.com/eni-university-of-oxford-scholarship/,N/A,N/A,N/A
2024 Concordia University Presidential Scholarship in United States | How To Apply,https://www.scholarshipregion.com/concordia-university-presidential-scholarship/,N/A,N/A,N/A
2024 Mastercard Scholarship at UP (University of Pretoria) | Fully Funded,https://www.scholarshipregion.com/mastercard-scholarship-at-up/,N/A,N/A,N/A
Scholarships1369,https://www.scholarshipregion.com/category/scholarships/,N/A,N/A,N/A
Postgraduate Scholarships930,https://www.scholarshipregion.com/category/scholarships/postgraduate-scholarships/,N/A,N/A,N/A
Masters Scholarships812,https://www.scholarshipregion.com/category/scholarships/masters-scholarships/,N/A,N/A,N/A
Schaefer Halleen’s Social Equity Scholarship,"Master, Bachelor, Phd",$1000,30 June 2022,united-states
President’s Scholarship for Ukraine,"Master, Bachelor, Phd, Course",$2500,31 July 2022,united-states
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,united-states
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,united-states
Improve Men’s Health Scholarship,"Master, Bachelor, Phd",$2000,31 May 2022,united-states
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,united-states
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,united-states
American Indian Scholarships at Augsburg University,Bachelor,Partial tuition fees,1 December 2022,united-states
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28 April 2023,united-states
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24 March 2027,united-states
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,6 May 2022,united-states
Medicine: Fully Funded Swansea & HMRI PhD Scholarship: Ovarian Cancer Chemoresistance,Phd,Full cost of tuition fees and an annual stipend,6 May 2022,united-states
New York University - September 11 Scholarships,"Master, Bachelor, Phd, Course",Pay any remaining balance.,30 June 2023,united-states
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31 May 2022,united-states
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,6 May 2022,united-states
GREAT Scholarship for Bangladesh Students in UK,Master,"£10,000",31 May 2022,united-kingdom
Diversity Scholarships for Africa and Latin American Students in UK,Master,50% scholarship,31 May 2022,united-kingdom
Beth Mead Scholarships for International Students at Teesside University,"Bachelor, Master","£1,200",31 August 2022,united-kingdom
Malaysia Scholarships at Nottingham Trent University,Master,"£4,000",29 June 2022,united-kingdom
PhD Studentships in Predictive Uncertainty in Computer Vision for International Students in UK,Master,"£16,062 p.a., tuition fees + £2,000 research grant",10 June 2022,united-kingdom
Strathclyde Business School MRes Scholarships in UK,Master,Tuition fees,,united-kingdom
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,united-kingdom
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,united-kingdom
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,united-kingdom
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,united-kingdom
Engineering: Fully Funded MSc by Research at Swansea: Functional Construction Materials,Master,Full cost of UK tuition fees and an annual stipend,27 May 2022,united-kingdom
UEA Law School Country Specific Academic Excellence Scholarships in UK,Master,"£8,000 tuition fee reduction",31 May 2022,united-kingdom
Saraswati Dalmia Scholarship at SOAS University of London,"Phd, Master","Up to £5,353",2 May 2022,united-kingdom
The Professor Mike Walker OBE Scholarships for International Students in the UK,Master,"Up to £12,000 tuition fee reduction",11 July 2022,united-kingdom
PhD Studentships in Electronic,Phd,,3 December 2022,united-kingdom
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,canada
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,canada
Improve Men’s Health Scholarship,"Master, Bachelor, Phd",$2000,31 May 2022,canada
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,canada
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,canada
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28 April 2023,canada
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24 March 2027,canada
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,6 May 2022,canada
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31 May 2022,canada
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,6 May 2022,canada
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20 January 2023,canada
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15 May 2022,canada
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15 May 2022,canada
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30 June 2023,canada
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14 May 2022,canada
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,europe
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,europe
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,europe
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,europe
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28 April 2023,europe
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24 March 2027,europe
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,6 May 2022,europe
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31 May 2022,europe
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,6 May 2022,europe
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20 January 2023,europe
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15 May 2022,europe
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15 May 2022,europe
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30 June 2023,europe
Becas Grisart 2022,Course,Take the courses free of charge.,25 May 2022,europe
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14 May 2022,europe
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,south-africa
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,south-africa
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,south-africa
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,south-africa
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28 April 2023,south-africa
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24 March 2027,south-africa
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,6 May 2022,south-africa
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31 May 2022,south-africa
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,6 May 2022,south-africa
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20 January 2023,south-africa
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15 May 2022,south-africa
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15 May 2022,south-africa
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30 June 2023,south-africa
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14 May 2022,south-africa
Project Management - Free Course From Windsor University's MBA,Course,100% free,14 May 2022,south-africa
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,nigeria
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,nigeria
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,nigeria
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,nigeria
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28 April 2023,nigeria
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24 March 2027,nigeria
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,6 May 2022,nigeria
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31 May 2022,nigeria
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,6 May 2022,nigeria
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20 January 2023,nigeria
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15 May 2022,nigeria
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15 May 2022,nigeria
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30 June 2023,nigeria
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14 May 2022,nigeria
Project Management - Free Course From Windsor University's MBA,Course,100% free,14 May 2022,nigeria
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22 December 2022,pakistan
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15 September 2022,pakistan
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,1 July 2022,pakistan
ArtUniverse,"Master, Course",Full or partial scholarship,30 December 2022,pakistan
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28 April 2023,pakistan
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24 March 2027,pakistan
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,6 May 2022,pakistan
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31 May 2022,pakistan
